Lansare;;Category;proxmoxId;vmPort;Name;Source;Priority;License/Type;Tech;API;SSO;Lang(RO);Notes;;Status;
1;http://10.2.3.231:8069/odoo/crm;ERP & Inventar;501;8069;Odoo Community;OpenSource;P2;LGPL;Python;Yes;OAuth/OIDC via Keycloak bridge;ParÅ£ial;"ERP modular; add-ons e-Factura RO";;Backlog;
1;http://10.2.3.248/;Proiecte & Taskuri;528;80;Plane.so;OpenSource;P2;Open Source;Next/TS;Yes;SSO (Ã®n curs)/Proxy;ParÈ›ial;"Issue/project modern; verificÄƒ stabilitatea pentru prod";;Backlog;
1;http://10.2.3.250/install/;eCommerce;530;80;PrestaShop;OpenSource;P2;OSL 3.0;PHP;Yes;Proxy;Comunitar;"Consacrat Ã®n RO; multe module; atenÈ›ie la mentenanÈ›Äƒ";;Backlog;
1;http://10.2.3.249/setup;Gestionare Active IT;529;80;Snipe-IT;OpenSource;P2;GPL;Laravel;Yes;Proxy;ParÅ£ial;"Inventar echipamente; etichete QR";;Backlog;
0;;Parole & Secrete;;;Vaultwarden;OpenSource;P2;GPL;Rust;Yes;OIDC;Da;"Bitwarden compat.; stoc local, securizat";;Backlog;
0;;Restaurante & Food-Service;;;Tabler POS (Envato);Commercial;P2;Commercial;Laravel/Vue;Yes;Proxy;"POS + inventar + chelner tablet; cere licenÈ›Äƒ per client";;https://codecanyon.net/item/tabler-pos-saas/44953339;;
0;;Restaurante & Food-Service;;;Kitchen-Display System (KDS);OpenSource;P2;MIT;Node/React;Yes;Proxy;Ecran bucÄƒtÄƒrie sincronizat cu comenzi (TastyIgniter plug-in);;https://github.com/evxdev/kds;;
0;;Formulare & Workflow;;;Form.io (selfâ€‘host);OpenSource/Commercial;P3;Mixed;Node;Yes;OIDC;ParÈ›ial;"Form builder + API; bun pentru fluxuri interne";;Backlog;
0;;AnaliticÄƒ GDPR;;;Umami;OpenSource;P3;MIT;Node;Yes;Proxy;Da;"Analytics lightweight; simplu de hostat";;Backlog;
0;;Telefonie/Comunicare;;;FreePBX (Asterisk);OpenSource;P3;GPL;PHP;Yes;Proxy;ParÈ›ial;"Pentru clienÈ›i care cer centralÄƒ telefonicÄƒ; integrÄƒri CRM";;Backlog;
0;;ReÈ›ete & NutriÈ›ie;;;BiziX NutriCalc *(in-house)*;Custom;P3;Proprietary (GPL+exceptions);Python;REST;OIDC Native;"Micro-serviciu care interogheazÄƒ USDA FoodData Central È™i calculeazÄƒ declaraÈ›ia nutriÈ›ionalÄƒ; expus ca API â†’ folosit de Tandoor/Mealie";;â€“;;
0;;ReÈ›ete & Costuri;;;BiziX CostCalc *(in-house)*;Custom;P3;Proprietary;Node/TS;REST;OIDC Native;"Calculator cost/porÈ›ie & markup; import CSV preÈ›uri Metro, Selgros; export PDF fiÈ™Äƒ reÈ›etÄƒ";;â€“;;
0;;Monitorizare OspÄƒtari;;;Barmano Call-Button;OpenSource;P3;Apache-2.0;Go/ESP32;MQTT;Proxy;"Buton wireless > afiÈ™eazÄƒ cereri pe ecran + Telegram; nice-to-have gadget";;https://github.com/barmano/button;;
